Movie_Title,ListOfCertificate
Evangelion: 1.0 You Are (Not) Alone,"PG-13,TV-14"
For Love and Honour,
Vidocq,R
Arn: The Knight Templar,R
State of Grace,"R,TV-MA"
Capricorn One,PG
Sand Castle,TV-MA
"War, Inc.",R
The Battle of Britain,G
True Memoirs of an International Assassin,TV-14
Rowdy Rathore,
Jane Got a Gun,R
Nightbreed,"R,TV-14"
Mars Needs Moms,"PG,TV-Y7"
The Hurricane Heist,PG-13
Knights of Badassdom,R
Omkara,
Black Friday,
Cleanskin,
The Yellow Sea,R
I,
Skiptrace,PG-13
Blue Thunder,"R,TV-14"
The Hard Way,"R,TV-14"
Fatman,R
9th Company,R
15/07: Break of Dawn,
Into the White,R
Crimson Rivers 2: Angels of the Apocalypse,R
Saints and Soldiers,"R,PG-13"
Streets of Fire,"PG,R"
Kidnapping Mr. Heineken,R
F/X,"R,TV-14"
First Strike,PG-13
Winchester '73,"Approved,TV-PG,Passed"
The Eiger Sanction,"Approved,R"
Batman Ninja,PG-13
Silver Streak,PG
Tracers,PG-13
Jai Ho,
Echelon Conspiracy,PG-13
Shaolin,R
Fullmetal Alchemist,TV-14
Karnan,
Hard Kill,R
Bring Me the Head of Alfredo Garcia,R
Wheelman,TV-MA
The Sweeney,R
The Kitchen,R
No Escape,R
Appleseed,"R,TV-14"
French Connection II,R
Kesari,
Grabbers,TV-MA
Dabangg 2,
War on Everyone,R
Assassination Nation,R
The Getaway,"R,TV-14"
Our Story,
Thursday,R
Revenge,"R,TV-14"
Everly,R
The Corruptor,"R,TV-14"
Sarkar,
The Prince,R
Shaft,"R,TV-MA"
Once Upon a Time in China,R
Teen Titans GO! To the Movies,PG
Death Warrant,"R,TV-14"
Occupation,R
Chocolate,R
Khuda Haafiz,TV-MA
Raid,
Coogan's Bluff,"Approved,R,TV-14"
Wing Commander,PG-13
Moonwalker,PG
Anniyan,
Gangaajal,
The In-Laws,PG-13
Breach,R
American Heist,R
Outpost,R
The Bag Man,R
Blade of the Immortal,R
Kaminey,
The Son of No One,R
The Accidental Spy,PG-13
Deathgasm,
36th Precinct,
Catch .44,R
Death Wish II,"R,TV-14"
Oye Lucky! Lucky Oye!,
The Driver,"PG,R"
Smokey and the Bandit II,PG
New Kids Turbo,
Message from the King,R
Hell Ride,R
Earthquake,"PG,TV-PG"
Nayak: The Real Hero,
Cannonball Run II,PG
The Man with the Iron Heart,R
Singham,TV-14
The Legend of Bhagat Singh,
SAS: Red Notice,R
The 36th Chamber of Shaolin,R
Freejack,R
Collide,PG-13
The Kid Who Would Be King,PG
Superman II: The Richard Donner Cut,PG
Renaissance,R
Le chant du loup,TV-14
Race 2,TV-14
Battle in Seattle,R
Phantasm II,R
Dhuruvangal Pathinaaru,
Azumi,
Shadow,
Ashes of Time,R
American Warrior,R
6 Bullets,R
Kaho Naa... Pyaar Hai,
Cold Skin,TV-14
Agent Cody Banks 2: Destination London,PG
Missing in Action,R
Blue Steel,R
Blood: The Last Vampire,R
Knock Off,R
Cats & Dogs: The Revenge of Kitty Galore,PG
The Professional,
Dhamaal,
From Prada to Nada,"PG-13,TV-PG"
Mr. India,
Ashoka the Great,R
Act of Vengeance,
Kill Command,
Far Cry,R
Gabriel,R
Karan Arjun,
Point Blank,R
Captain Blood,"Approved,Passed,TV-G"
Ajab Prem Ki Ghazab Kahani,
The Vikings,"Approved,TV-PG"
The Heir Apparent: Largo Winch,
Split Second,R
Along With the Gods: The Two Worlds,
Heaven & Earth,R
Clockstoppers,PG
Go Goa Gone,
24 Hours to Live,R
Brat 2,
Slaughterhouse Rulez,R
Overdrive,PG-13
Gantz: O,
Dookudu,
Infernal Affairs III,
The Outrage,R
Double Dragon,PG-13
Reign of the Supermen,PG-13
Excess Baggage,PG-13
Love Exposure,
Avalon,R
I'm Gonna Git You Sucka,R
Biker Boyz,PG-13
A Hard Day,
Outcast,
The Guardians,"TV-PG,TV-14"
King Solomon's Mines,PG-13
Tekkonkinkreet,R
Free to Play,
Skinwalkers,"R,PG-13"
The Substitute,R
USS Indianapolis: Men of Courage,R
Dragon Hunters,PG
Story of Ricky,R
Hatchet II,R
Office Uprising,
Manikarnika: The Queen of Jhansi,
Blood: The Last Vampire,TV-14
Running Scared,R
Outlaw,R
Bon Cop Bad Cop,"R,TV-14"
The Wild Geese,R
Shinobi: Heart Under Blade,R
Kabali,
Hatari!,Approved
Violet & Daisy,R
Captain America,PG-13
Crying Freeman,
Flu,
Brothers,
3 Ninjas: High Noon at Mega Mountain,PG
Resident Evil: Vendetta,R
7 Aum Arivu,
The Day,R
Aftershock,R
The Hit List,R
Beowulf,R
Killers Anonymous,R
Day of the Falcon,R
Vivegam,
War of the Arrows,R
Battle for Terra,PG
Berserk: The Golden Age Arc I - The Egg of the King,TV-MA
House on Willow Street,
Srimanthudu,
The Most Dangerous Game,"Approved,PG-13,TV-PG,Passed"
Rise: Blood Hunter,R
"Watch Out, We're Mad",G
Velayudham,
Against All Odds,R
I Love Trouble,PG
Fullmetal Alchemist the Movie: Conqueror of Shamballa,PG-13
A Touch of Sin,
Cosmic Sin,R
Pawn Shop Chronicles,R
Code Name: The Cleaner,PG-13
Kolpaçino,
First Kill,R
T-34,TV-14
Ghulam,
Crime Busters,PG
Armed and Dangerous,"PG-13,TV-14"
Bushwick,TV-MA
Returner,R
River of No Return,"Approved,TV-PG,Passed"
The Admiral: Roaring Currents,
Bleach,TV-14
Forsaken,R
Next of Kin,R
MSG: The Messenger of God,
Mohenjo Daro,TV-14
Sonchiriya,
Turbulence,R
Monsters: Dark Continent,R
The Sword of Doom,
Major Grom: Plague Doctor,TV-14
Gangster's Paradise: Jerusalema,R
Deep Cover,R
Ratchet & Clank,PG
Dragon Ball Z: Revival Fusion,PG
F/X2,"PG-13,TV-14"
Kuffs,PG-13
Merantau,R
The Enemy Below,Approved
Deewaar,
Billa 2,
Elephant White,R
City Hunter,PG-13
Kung Fu Jungle,
Salyut-7,
Home of the Brave,R
To End All Wars,R
A Better Tomorrow II,
Innocent Blood,R
Bairavaa,
Josh,
Shootout at Lokhandwala,
Plunkett & Macleane,R
Foxy Brown,R
Suburban Commando,PG
Confession of Murder,
Ayan,
The Machine Girl,
Bang Boom Bang - Ein todsicheres Ding,
King Kong vs. Godzilla,Approved
The Legend of Billie Jean,"R,PG-13"
Catch That Kid,PG
The Car,PG
Sands of Iwo Jima,"Approved,TV-PG,Passed"
Freelancers,R
Baaghi 2,
Business Man,
Blankman,PG-13
Le Mans,"Approved,G"
Appleseed: Ex Machina,PG-13
Fortress of War,
Go for It,
2036 Origin Unknown,TV-14
Chill Factor,R
Once Upon a Time in China II,R
Inferno,R
The Sleepover,TV-PG
The Navigator,TV-PG
Proud Mary,R
American Renegades,PG-13
Police Story: Lockdown,
Bleeding Steel,R
The Memory of a Killer,R
Young Ones,R
The Sea Hawk,"TV-G,Approved,TV-PG,Passed"
Wilderness,R
The Principal,R
The Promise,PG-13
City Heat,PG
Wonderful Days,
Avenging Angelo,R
Home Sweet Home Alone,PG
Crossover,PG-13
Pandemic,TV-MA
New Kids Nitro,
Infestation,R
The Dead,R
Revolt,R
Mumbai Saga,
Phantasm III: Lord of the Dead,R
Ferry,TV-MA
Dasavatharam,
The Assignment,R
Wake of Death,R
Always,
Allan Quatermain and the Lost City of Gold,PG
Alien Raiders,R
Goodachari,
Narrow Margin,R
Agneepath,
Battle Beyond the Stars,PG
Kaala,
Going Places,R
The Crow: Wicked Prayer,R
Mardaani 2,
Exiled,R
Valley of the Wolves: Palestine,
Gone in 60 Seconds,PG
Operation Dumbo Drop,PG
Beat the Devil,"Approved,TV-PG"
The Golden Voyage of Sinbad,G
Golmaal Again,
Atharintiki Daaredi,
Doom: Annihilation,R
Dead Rising: Watchtower,
Black Dog,PG-13
Thunderbolt,R
Ravenous,TV-MA
Who Killed Captain Alex?,
Tokyo Drifter,
Mackenna's Gold,M
Baaghi,
A Dirty Carnival,
Ajnabee,
Himmatwala,
MSG 2 the Messenger,
Kill Switch,R
Dragon Ball Z: Wrath of the Dragon,TV-PG
The Osterman Weekend,R
Sahara,"Approved,TV-PG,Passed"
Stander,R
The Yakuza,"R,TV-14"
Gotcha!,PG-13
The In-Laws,PG
Dog Eat Dog,
Main Tera Hero,
Justice League vs the Fatal Five,PG-13
Sidekicks,PG
Rush,R
American Ninja 2: The Confrontation,R
Wer,R
Kannathil Muthamittal,
Shiri,R
Kull the Conqueror,PG-13
Master Z: The Ip Man Legacy,
The Assignment,R
Hamilton: In the Interest of the Nation,
The Dogs of War,R
Memoir of a Murderer,TV-MA
Kill Bill: The Whole Bloody Affair,
The Osiris Child,"TV-MA,TV-14"
The 2nd,TV-MA
Godzilla 2000: Millennium,PG
Singham Returns,
Appleseed Alpha,PG-13
The Decline,TV-MA
Missing in Action 2: The Beginning,R
Singh Is Bliing,
The Cowboy Way,PG-13
Leonard Part 6,PG
Samurai Cop,
Bad Day for the Cut,
When Worlds Collide,"Approved,Passed,G"
Lone Wolf and Cub: Sword of Vengeance,
White Sands,"R,TV-14"
Night of the Demons,R
White Wall,
Hulchul,
Bellflower,R
The Burma Conspiracy,
Annaatthe,
Yellowbeard,PG
Why Don't You Play in Hell?,
Bodyguards and Assassins,
The Young Lions,"Approved,TV-PG"
Jiu Jitsu,R
Skin Trade,R
Arn: The Kingdom at the End of the Road,
Plastic,R
The Crocodile Hunter: Collision Course,PG
No Mercy,
Raja Hindustani,
Banana Joe,
Dragons Forever,TV-14
Raabta,
Ishaqzaade,
Control,R
Into the Sun,R
Galaxy of Terror,R
Sarkar Raj,
Mo' Money,"R,TV-14"
Sanak,
Sinbad and the Eye of the Tiger,G
The Anomaly,
The Man Who Saved the World,
Dishoom,
Primal,R
Earth vs. the Flying Saucers,"Approved,TV-PG"
Hyena Road,R
The Great Father,PG
Miami Supercops,PG
Torrente 2: Mission in Marbella,
Black Eagle,R
Digimon: The Movie,"PG,TV-Y7-FV,TV-PG"
The Misfits,R
Mard Ko Dard Nahin Hota,
Cherrybomb,
Herbie Goes to Monte Carlo,G
Vettaiyaadu Vilaiyaadu,
Six-String Samurai,PG-13
Soldiers of Fortune,R
