Movie_Title,Movie_ID,ListOfCertificate
Fences,2671706,PG-13
Takers,1135084,PG-13
The Animal,255798,"R,PG-13"
Cleopatra,56937,G
Shall We Dance,358135,PG-13
Invincible,445990,PG
Free Birds,1621039,PG
In Search of Noah's Ark,76182,G
Forever Young,104291,PG
Friends with Benefits,1632708,R
Saw,387564,R
Romeo Must Die,165929,R
ParaNorman,1623288,PG
Be Cool,377471,PG-13
Wallace & Gromit: The Curse of the Were-Rabbit,312004,G
Primal Fear,117381,R
Just Married,305711,PG-13
Fantastic Four,1502712,PG-13
Me Before You,2674426,PG-13
The Big Chill,85244,R
Once Upon a Time in Mexico,285823,R
White Noise,375210,PG-13
Dracula Untold,829150,PG-13
Drumline,303933,PG-13
The Queen,436697,PG-13
Edward Scissorhands,99487,PG-13
TMNT,453556,PG
The Hateful Eight,3460252,R
Evil Dead,1288558,R
La Bamba,93378,PG-13
The Count of Monte Cristo,245844,PG-13
The Woman in Black,1596365,PG-13
The Hundred-Foot Journey,2980648,PG
Horrible Bosses 2,2170439,R
The Abyss,96754,PG-13
"Three Billboards Outside Ebbing, Missouri",5027774,R
The Omen,466909,R
New Year's Eve,1598822,PG-13
What Men Want,7634968,R
Crash,375679,R
Tag,2854926,R
Small Soldiers,122718,PG-13
Assassin's Creed,2094766,PG-13
Project X,1636826,R
Pet Sematary,837563,R
Source Code,945513,PG-13
King Kong,74751,PG
The Curse of La Llorona,4913966,R
Gandhi,83987,PG
Diary of a Wimpy Kid: Rodrick Rules,1650043,PG
Grand Canyon: The Hidden Secrets,87355,
Four Weddings and a Funeral,109831,R
Unfaithful,250797,R
Life of the Party,5619332,PG-13
Outrageous Fortune,93690,R
The Recruit,292506,PG-13
13 Hours,4172430,R
Message in a Bottle,139462,PG-13
Sweeney Todd: The Demon Barber of Fleet Street,408236,R
Varsity Blues,139699,R
My Cousin Vinny,104952,R
Blow,221027,R
Letters to Juliet,892318,PG
The Prestige,482571,PG-13
Forces of Nature,141098,PG-13
Arachnophobia,99052,PG-13
Resident Evil: Apocalypse,318627,R
