Movie_Title,Time
Drive,100
Texas Chainsaw 3D,92
Inferno,121
The Favourite,119
Like Father Like Son,100
The Foreigner,113
Eternal Sunshine of the Spotless Mind,108
Monster,109
Hot Pursuit,87
Concussion,123
Jack Frost,101
Adventures in Babysitting,102
Man on the Moon,118
Thirteen Days,145
The 6th Day,123
Hostage,113
Mississippi Burning,128
Street Fighter,102
Fireproof,122
Semi-Pro,91
Heroes,112
The Spy Who Dumped Me,117
I Spy,97
The Constant Gardener,129
Flags of Our Fathers,135
Devil,80
R.I.P.D.,96
Dying Young,111
Marmaduke,99
The Gambler,111
The Punisher,124
Striptease,115
Black Knight,95
Annihilation,115
Coming Home,127
When in Rome,91
Return to Me,115
Because of Winn-Dixie,106
Taking Lives,103
The 13th Warrior,102
Dreamer: Inspired by a True Story,106
Driven,116
Hereafter,129
The Last House on the Left,110
Team America: World Police,98
Psycho,109
Paper Towns,109
Cellular,94
Drillbit Taylor,110
Copycat,123
Mr. Magorium&apos;s Wonder Emporium,93
The Shadow,108
House of Wax,113
The Accused,111
How to Be a Latin Lover,115
What&apos;s the Worst That Could Happen?,94
Analyze That,96
The Lawnmower Man,108
Stealth,121
Paint Your Wagon,164
Daddy&apos;s Little Girls,100
Metro,117
Beverly Hills Ninja,88
Monster&apos;s Ball,111
Bustin&apos; Loose,94
The Eye,98
Eddie,100
Nick and Norah&apos;s Infinite Playlist,90
Adrift,96
Zack and Miri Make a Porno,101
A History of Violence,96
Scott Pilgrim vs. the World,112
"Good Night, and Good Luck.",93
United 93,111
Little Big Man,139
She&apos;s Out of My League,104
Chappie,120
One Hour Photo,96
Rob Roy,139
Major League II,105
Superstar,81
Chef,114
Dogma,130
Random Hearts,133
Delivery Man,105
Predator 2,108
Mirrors,110
The Legend of Bagger Vance,126
3 Days to Kill,117
Robin Hood,116
Murphy&apos;s Romance,107
Doragon bôru chô: Burorî,100
I Love Trouble,123
Sophie&apos;s Choice,150
The Gods Must Be Crazy,109
Road House,114
Kidnap,95
Super Troopers 2,100
Ryan&apos;s Daughter,206
Dragonfly,104
"Hail, Caesar!",106
Elizabeth,124
Daybreakers,98
Double Impact,110
Blown Away,121
When the Game Stands Tall,115
Bad Company,116
Riding in Cars with Boys,132
The Rose,125
The Bank Job,111
The Art of War,117
When the Bough Breaks,107
The Stepfather,101
Rent,135
The Object of My Affection,111
The Mechanic,93
The Last Picture Show,118
Nanny McPhee and the Big Bang,109
Priest,87
Zathura: A Space Adventure,101
Child&apos;s Play,90
Fools Rush In,109
Shoot to Kill,110
Confessions of a Teenage Drama Queen,89
A Low Down Dirty Shame,108
Spice World,93
Bless the Child,107
3 Ninjas,84
The Five-Year Engagement,124
Zoolander 2,101
Starman,115
The Crocodile Hunter: Collision Course,90
High Road to China,105
Stop! Or My Mom Will Shoot,87
Mr. Brooks,120
Employee of the Month,103
Garfield: A Tale of Two Kitties,82
Child&apos;s Play 2,84
Brothers,105
We Own the Night,117
Swimfan,85
Desperately Seeking Susan,104
Menace II Society,97
Florence Foster Jenkins,111
Love &amp; Basketball,124
Final Analysis,124
Memphis Belle,107
The Brothers,106
Friday,91
Do the Right Thing,120
Poetic Justice,109
Hoosiers,114
The Finest Hours,117
The Island of Dr. Moreau,96
Hannibal Rising,121
Saw VI,90
The Last Witch Hunter,106
Superhero Movie,75
Event Horizon,96
Winnie the Pooh,63
Overboard,112
The Best of Me,118
Zombieland: Double Tap,99
Garden State,102
Eye for an Eye,101
The Other Boleyn Girl,115
Ricki and the Flash,101
Glory,122
Elizabethtown,123
Resident Evil: The Final Chapter,107
Hell or High Water,102
The Host,125
Blood Work,110
The Adventures of Rocky &amp; Bullwinkle,92
The World&apos;s End,109
That Awkward Moment,94
Jacob&apos;s Ladder,113
Modern Problems,93
A Man Apart,109
Ramona and Beezus,104
Micki + Maude,118
Overcomer,119
The Wrestler,109
Necessary Roughness,108
Memento,113
The House,88
All About the Benjamins,95
The Art of Racing in the Rain,109
Serenity,119
W.,129
Captain Corelli&apos;s Mandolin,131
Her,126
Jonah: A VeggieTales Movie,82
The Mist,126
Nancy Drew,99
The Outsiders,91
Mimic,105
Ernest Goes to Jail,81
Grindhouse,191
The Wood,106
Wyatt Earp,191
In the Heart of the Sea,122
Navy Seals,113
Midnight in the Garden of Good and Evil,155
Winchester,99
Against All Odds,128
Problem Child 2,90
The Reaping,99
All the Money in the World,132
Moscow on the Hudson,115
15 Minutes,120
Lucky Lady,118
Downsizing,135
From Russia with Love,115
Don Jon,90
Fly Away Home,107
Unleashed,103
Fargo,98
On the Basis of Sex,120
From Paris with Love,92
The Best Years of Our Lives,170
Sicko,123
Air Bud,98
Sixteen Candles,93
Good Burger,95
Santa Claus: The Movie,107
Striking Distance,102
Corky Romano,86
Perfect Stranger,109
Observe and Report,86
Two of a Kind,88
The Russia House,123
Match Point,124
Weird Science,94
American Gigolo,117
The Long Riders,100
Transcendence,119
The Players Club,104
Bulletproof Monk,104
Whiskey Tango Foxtrot,112
Sanctum,108
The Program,112
Stay Alive,85
Monte Carlo,109
Fame,107
Vicky Cristina Barcelona,96
City by the Sea,108
Hitman: Agent 47,96
The Warriors,92
War,103
Lucky Number Slevin,110
Captain Ron,100
My Super Ex-Girlfriend,96
The Black Dahlia,121
Babylon A.D.,90
Much Ado About Nothing,111
Pure Luck,96
Thunderheart,119
Quest for Camelot,86
A Lot Like Love,107
Il postino,108
Hellboy,120
My Little Pony: The Movie,99
Friday the 13th: A New Beginning,92
Billy Elliot,110
Joy Ride,97
Death Wish,93
Frankenstein,123
Black and Blue,108
Cousins,113
The Medallion,88
Lock Up,109
The Caine Mutiny,124
Tough Guys,104
The Darkest Hour,89
Quigley Down Under,119
The Adventures of Ford Fairlane,104
Rhinestone,111
Toys,118
The Freshman,102
When a Stranger Calls,97
Urban Legends: Final Cut,97
Battlefield Earth,118
The Book Thief,131
Psycho,105
Married to the Mob,104
The Way Way Back,103
The Right Stuff,193
Looney Tunes: Back in Action,93
Flicka,95
Fantastic Mr. Fox,87
Aloha,105
Flight of the Phoenix,113
The Air Up There,107
Creepshow,120
National Lampoon&apos;s Van Wilder,92
Phantom Thread,130
Punchline,128
The Wiz,134
Antwone Fisher,120
Reality Bites,99
Gamer,95
Top Secret!,90
The Circle,110
Chain Reaction,107
The Invisible,102
F/X,109
Boys and Girls,94
A Christmas Story,93
Keanu,100
The Great Waldo Pepper,107
Valentine,96
Multiplicity,117
The Man from Snowy River,102
Diary of a Wimpy Kid: The Long Haul,91
Big Miracle,107
My Favorite Year,92
Juice,95
Die unendliche Geschichte,102
UglyDolls,87
Homefront,100
Dracula,109
Don&apos;t Be a Menace to South Central While Drinking Your Juice in the Hood,89
Secret in Their Eyes,111
The People vs. Larry Flynt,130
The Life of David Gale,130
The Serpent and the Rainbow,98
City Hall,111
8 Seconds,105
Nine Lives,87
Appaloosa,115
Tucker: The Man and His Dream,110
Man of the House,100
Skin Deep,101
Broken City,109
Summer Catch,104
Color of Night,121
The Pledge,124
Remember Me,113
Waitress,108
Hart&apos;s War,125
Johnny Mnemonic,103
Race,134
"I, Frankenstein",92
Tuck Everlasting,90
Blaze,120
Martin Lawrence Live: Runteldat,113
Friday the 13th Part VII: The New Blood,88
Anywhere But Here,114
The Ninth Gate,133
Casualties of War,113
Becoming Jane,120
Eye in the Sky,102
Year of the Dragon,134
Sugar Hill,123
The Believers,114
Next,96
Harold &amp; Kumar Go to White Castle,88
Simon Birch,114
The Upside of Anger,118
Love Affair,108
Crimes and Misdemeanors,104
Fright Night,106
Paranormal Activity: The Ghost Dimension,88
The Four Feathers,132
Walk Hard: The Dewey Cox Story,96
Only the Brave,134
127 Hours,94
Babe: Pig in the City,97
Into the Wild,148
The Delta Force,125
Bears,78
Bad Santa 2,92
The Big Green,100
Mr. Holmes,104
The Perks of Being a Wallflower,103
Show Dogs,92
Steve Jobs,122
Halloween 4: The Return of Michael Myers,88
Mother!,121
Going the Distance,103
The Rage: Carrie 2,104
Bad Times at the El Royale,141
Drive Me Crazy,91
Laws of Attraction,90
Punch-Drunk Love,95
For the Boys,138
Last Man Standing,101
Addicted,106
Chappaquiddick,106
Disturbing Behavior,84
The Ruins,90
Dark Skies,97
Klute,114
The Zookeeper&apos;s Wife,127
Angel,94
Sorry to Bother You,112
Father Figures,113
Empire,90
Notes on a Scandal,92
Win a Date with Tad Hamilton!,96
Pet Sematary II,100
The Falcon and the Snowman,131
Ghosts of the Abyss,61
The Big Lebowski,117
Fled,98
Rushmore,93
Seed of Chucky,87
Kung fu,99
Annapolis,108
Center Stage,115
To Rome with Love,112
Blink,106
Freejack,110
Catch That Kid,91
Safe,94
New in Town,97
Lost Souls,97
The Frighteners,110
The Kid Who Would Be King,120
Valley Girl,99
Detroit,143
Rebound,86
Howard the Duck,110
Ging chaat goo si III: Chiu kup ging chaat,96
Chances Are,108
Swing Vote,120
21 Grams,124
Elizabeth: The Golden Age,114
Young Adult,94
An American Haunting,83
A Simple Plan,121
Tales from the Darkside: The Movie,93
Burglar,103
That Old Feeling,105
The Whole Ten Yards,98
Billy Bathgate,106
Marie Antoinette,123
Armored,88
The Single Moms Club,111
