Money,Count
72046274,4
71817863,10
71732303,1
71644468,2
71186502,1
70992898,1
70869582,4
70829270,1
70829270,1
70725985,2
70642966,1
70595464,1
70263155,1
70231335,3
70172621,1
70078017,6
70055998,1
69934414,2
69865924,1
69701637,1
69685766,2
69626356,2
69518232,1
69518232,1
69474661,1
69474661,1
69424389,1
69321374,2
69302408,3
68851942,6
68777554,1
68743485,1
68743485,1
68743485,1
68706993,1
68694704,4
68692604,3
68682365,3
68572631,1
68567841,1
68567841,1
68411275,1
68409575,5
68357079,1
68316452,1
68294094,2
68282844,1
68264022,1
68234154,1
67999335,1
67999335,1
67937494,1
67876281,1
67650214,2
67647013,1
67555079,2
67386910,2
67379585,8
67321552,3
67308282,1
67192859,1
67091915,1
67081424,2
67036323,4
66984887,1
66980456,1
66980456,1
66980456,1
66976317,1
66746838,6
66701268,2
66558465,1
66546130,2
66500090,1
66470424,3
66468985,1
66349359,3
66316289,1
66308758,1
66166000,1
66141242,2
66000000,1
65807036,3
65770596,3
65762037,2
65697144,3
65673233,1
65652615,3
65645724,7
65575707,2
65528997,3
65500000,1
65497208,1
65270477,1
65270477,1
65181635,3
65148481,3
65100369,1
65100369,1
65083952,13
65053914,6
64988181,2
64942830,3
64825179,6
64676349,1
64605128,2
64532825,4
64468470,3
64445708,1
64445708,1
64437847,1
64417003,1
64417003,1
64417003,1
64350171,1
64277271,5
64191523,1
64112849,11
64094260,4
64088552,1
64010324,2
63964769,8
63782078,1
63782078,1
63607250,5
63507186,2
63365859,1
63271510,4
63221757,2
62944815,1
62827476,4
62803180,1
62771059,1
62747206,2
62695489,1
62681878,5
62664517,2
62561936,4
62548947,1
62524246,4
62497709,2
62493712,1
62475342,1
62464731,1
62464731,1
62410375,3
62387580,3
62374416,3
62357900,1
62276657,4
62274780,1
62228395,1
62201906,10
62198461,1
62174008,1
62022014,1
61950770,1
61910790,2
61808775,1
61808775,1
61675667,2
61559184,1
61548707,1
61524280,15
61474314,5
61432152,3
61385065,1
61384935,6
61300926,6
61279452,1
61258259,5
61141030,1
61052840,6
60851612,4
60800444,1
60780981,1
60749324,2
60726164,1
60688670,2
60433432,4
60427839,1
60427839,1
60413715,2
60330833,1
60329001,1
60321861,1
60289912,1
60273173,1
60134840,2
60112959,3
60088980,1
60063298,2
60052138,1
59966890,5
59950623,1
59945183,1
59837652,6
59584839,2
59520298,1
59430269,4
59418613,1
59389433,1
59371303,1
59069039,2
58980521,1
58878723,1
58704805,10
58646610,4
58620973,1
58575479,5
58480828,1
58424851,2
58409247,1
58134374,2
58072119,1
58034318,3
57968936,1
57968936,1
57958875,2
57947036,1
57947036,1
57935006,2
57915972,1
57915972,1
57915972,1
57911616,2
